Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-10-15,012-001-089-008,Goh Chok Tong ,False,Mr Goh Chok Tong (Marine Parade).
2012-10-15,012-001-089-008,Inderjit Singh ,False,Mr Inderjit Singh (Ang Mo Kio).
2012-10-15,012-001-089-008,Amy Khor Lean Suan ,False,"Dr Amy Khor Lean Suan (Hong Kah North), Minister of State for Health and Manpower and Deputy Government Whip."
2012-10-15,012-001-089-008,Lim Wee Kiak ,False,Dr Lim Wee Kiak (Nee Soon).
2012-10-15,012-001-089-008,Irene Ng Phek Hoong ,False,Ms Irene Ng Phek Hoong (Tampines).
2012-10-15,012-001-089-008,Seng Han Thong ,False,Mr Seng Han Thong (Ang Mo Kio).
2012-10-15,012-001-089-008,Sam Tan Chin Siong ,False,"Mr Sam Tan Chin Siong (Radin Mas), Senior Parliamentary Secretary to the Minister for Foreign Affairs and Acting Minister for Community Development, Youth and Sports."
2012-10-15,012-001-089-008,Teo Ho Pin ,False,"Dr Teo Ho Pin (Bukit Panjang), Deputy Government Whip."
2012-10-15,012-001-089-008,Tharman Shanmugaratnam ,False,"Mr Tharman Shanmugaratnam (Jurong), Deputy Prime Minister and Minister for Finance."
2012-10-15,012-001-089-008,Tin Pei Ling ,False,Ms Tin Pei Ling (Marine Parade).
2012-10-15,012-001-089-008,Michael Palmer ,True,Mr SPEAKER (Mr Michael Palmer (Punggol East)).
2012-10-15,012-001-089-008,Ang Hin Kee ,True,Mr Ang Hin Kee (Ang Mo Kio).
2012-10-15,012-001-089-008,Ang Wei Neng ,True,Mr Ang Wei Neng (Jurong).
2012-10-15,012-001-089-008,Baey Yam Keng ,True,Mr Baey Yam Keng (Tampines).
2012-10-15,012-001-089-008,Chan Chun Sing ,True,"Mr Chan Chun Sing (Tanjong Pagar), Acting Minister for Community Development, Youth and Sports and Senior Minister of State for Defence."
2012-10-15,012-001-089-008,Chen Show Mao ,True,Mr Chen Show Mao (Aljunied).
2012-10-15,012-001-089-008,Chia Shi-Lu ,True,Dr Chia Shi-Lu (Tanjong Pagar).
2012-10-15,012-001-089-008,Lina Chiam ,True,Mrs Lina Chiam (Non-Constituency Member).
